Nome;INEP;Endereço;Telefone;Email;CNPJ;Diretor;Anexo;Endereço Anexo;Turnos;Etapas
EMEIF MANOEL DA COSTA CIRNE;25073745;RUA JOAQUIM GONCALVES LEDO;;;;;;;;
CM NENZINHA CUNHA LIMA;25071327;R. DOUTOR PAULO ROBERTO MAYER;;;;;;;;
EMEIF RIVANILDO SANDRO ARCOVERDE;25073877;RUA SENADOR JOÃO CAVALCANTE DE ARRUDA;;;;;;;;
EMEIF MELO LEITAO;25074733;RUA ANACLETO ELOY;;;;;;;;
EMEIF AGEU GENUINO DA SILVA;25073567;RUA ARQUELAU DA COSTA GUIMARAES;;;;;;;;
EMEIF CEAI DR ELPIDIO DE ALMEIDA;25070789;RUA JOAQUIM AMORIM JUNIOR;;;;;;;;
EMEIF GUSTAVO ADOLFO CANDIDO ALVES;25074377;RUA PEDRO ARAGAO;;;;;;;;
EMEIF SANDRA CAVALCANTI;25074962;AV. ELPÍDIO DE ALMEIDA;;;;;;;;
EMEIF APOLONIA AMORIM;25074148;RUA ALMIRANTE BARROSO;;;;;;;;
EMEIF PADRE CORNELIO BOER;25074776;RUA FRANCISCO LOPES DE ALMEIDA;;;;;;;;
CM AMENAIDE SANTOS;25071165;R.PRESIDENTE COSTA E SILVA;;;;;;;;
EMEF ALMEIDA BARRETO;25074024;RUA SAO PEDRO;;;;;;;;
EMEF TIRADENTES;25075071;RUA PRESIDENTE COSTA E SILVA;;;;;;;;
EMEIF AMARO DA COSTA BARROS;25073575;RUA MANOEL PORTO;;;;;;;;
EMEIF CRISTINA PROCOPIO;25074229;RUA PRESIDENTE COSTA E SILVA;;;;;;;;
EMEIF ROTARY DR FRANCISCO BRASILEIRO;25072820;RUA JOSÉ RODRIGUES DE LIMA;;;;;;;;
CM PASSINHA AGRA;25209809;RUA PROJETADA, S/N - MUTIRÃO DO SERROTÃO;;;;;;;;
CASA DA CRIANCA DR JOAO MOURA;25070711;R. Dr. JOÃO MOURA;;;;;;;;
CM IZAURA GOMES DE FARIAS;25071157;R. DOM PEDRO I;;;;;;;;
EMEF ROBERTO SIMONSEN;25121685;RUA CARLOS CHAGAS;;;;;;;;
EMEF ANTONIO ALVES DE ARAUJO;25077066;SÍTIO TAMBOR;;;;;;;;
EMEF PINHEIRO GUEDES;25077031;SÍTIO GRAVATAZINHO;;;;;;;;
EMEIF GABRIEL SOARES;25076884;SÍTIO MONTE ALEGRE;;;;;;;;
EMEIF INACIO LUIZ DE LIMA;25076892;SÍTIO GASPAR;;;;;;;;
EMEIF SAO CLEMENTE;25076930;RUA ARNALDO LUIS DE MELO;;;;;;;;
CM MARIA ALVINA DA SILVA;25130137;RUA JOAO MARTINS SOBRINHO;;;;;;;;
EMEIF PAULO FREIRE;25122576;RUA: LUAN SOUSA SILVA;;;;;;;;
EMEIF RAIMUNDO ASFORA;25073850;RUA SANTA TEREZINHA;;;;;;;;
EMEIF PROF PEDRO OTAVIO;25076922;SÍTIO BOSQUE II;;;;;;;;
EMEIF LUIS JUVINO GOMES;25077023;RUA LUZIA DE CASTRO;;;;;;;;
EMEIF MARIA SALOME ALVES DOS SANTOS;25148800;RUA JOSÉ FRANCISCO DE FARIAS;;;;;;;;
EMEIF PROF LUIZ GIL;25077040;SÍTIO CAPIM GRANDE;;;;;;;;
EMEIF PROF MAURO LUNA;25077058;SÍTIO LAGOA DE DENTRO;;;;;;;;
EMEIF JOAO FRANCISCO DA MOTA;25076221;SÍTIO LUCAS;;;;;;;;
CM VANIA FIGUEIREDO;25071378;R. MANOEL VIRIATO DE SOUZA;;;;;;;;
EMEIF MONSENHOR SALES;25074741;AVENIDA JORNALISTA ASSIS CHATEAUBRIAND;;;;;;;;
CM ALCIDE CARTAXO LOUREIRO;25125222;RUA GERALDA DE FÁTIMA PAIVA MAIA;;;;;;;;
CM VOVO CLOTILDE;25112961;R. ALICE DE ARAUJO CRUZ;;;;;;;;
CM WALNYZA BORBOREMA CUNHA LIMA;25128540;R. JOSÉ TOSCANO DE MEDEIROS;;;;;;;;
EMEF PROFA MARIA ANUNCIADA BEZERRA;25073842;RUA JOSÉ NOGUEIRA PEREIRA BRITO;;;;;;;;
EMEIF ADALGISA AMORIM;25076183;RUA FENELON ARAUJO DE LUCENA TRÊS IRMÃS;;;;;;;;
EMEIF MARIINHA BORBOREMA;25074717;RUA JOÃO TAMANDUÁ;;;;;;;;
EMEIF PROF ERALDO CESAR DE ARAUJO;25128531;RUA MARIA PORTO DE FARIAS – S/N – BAIRRO: TRÊS IRMÃS;;;;;;;;
EMEF HENRIQUE GUILHERMINO BARBOSA;25074407;RUA DANIEL LUIZ RODRIGUES;;;;;;;;
EMEIF JOSE GUILHERMINO BARBOSA;25073664;RUA DA CONCEICAO;;;;;;;;
EMEIF JOSELITA BRASILEIRO;25074512;RUA SAO JOSE;;;;;;;;
EMEIF MARIA JOSE DE CARVALHO DE SOUSA;25073770;RUA SANTÍSSIMA;;;;;;;;
CM MARIA SALETE GOMES PINHEIRO;25135678;SÃO JOSE DA MATA;;;;;;;;
EMEI SEVERINO JOSE DE SOUSA;25135740;SÃO JOSE DA MATA;;;;;;;;
